Wavenumber,Intensity
75.0898,34.520389136976746
75.8788,45.148513369397506
76.6677,50.57754292357845
77.4565,43.938172281103334
78.2451,45.77217373235135
79.0337,44.478393526637774
79.8221,44.844899684695065
80.6105,55.09325777710251
81.3987,48.53468543948543
82.1868,46.855413579234664
82.9748,48.30566125406858
83.7627,45.8875536519115
84.5504,50.08311976675327
85.3381,71.87261928515727
86.1257,53.60351020205326
86.9131,57.59204016909166
87.7004,48.52696235392682
88.4876,47.792001825199804
89.2747,50.99080260377923
90.0617,59.2598823679416
90.8486,60.00851676000889
91.6354,49.93839131370578
92.422,54.886231474906936
93.2086,59.93391906840134
93.995,51.51626496012909
94.7814,57.65658751346041
95.5676,68.41530414740805
96.3537,62.826615236856924
97.1397,60.714657261874436
97.9255,73.77336559109813
98.7113,68.76643336819643
99.497,74.78747986746248
100.283,69.02644609986305
101.068,73.37867101467805
101.853,82.07928494645648
102.639,86.11627963517594
103.424,81.02256882488064
104.209,84.91897447721112
104.993,89.02737601019612
105.778,101.58989341805204
106.563,97.43942230772404
107.347,111.34700040018106
108.132,113.12523153380812
108.916,120.7703219309576
109.7,120.88802925787445
110.485,130.93023811087028
111.269,120.38115239792455
112.052,132.16428311462346
112.836,126.96380588521288
113.62,139.6040445683043
114.403,134.4600271837635
115.187,134.11926089567987
115.97,141.44972595000036
116.753,126.22847426354474
117.537,106.30305224596987
118.32,93.22631086657157
119.102,75.22158235896086
119.885,59.285062931882976
120.668,52.08515228279043
121.451,38.28250561527079
122.233,30.2231378565873
123.015,20.082198596700437
123.798,15.30095516070287
124.58,3.0288808990287635
125.362,-4.152285901200457
126.144,-6.361655477839577
126.925,6.590738158868589
127.707,-0.0790602046413369
128.489,9.541064216350378
129.27,3.949580071597211
130.051,-1.6977159830710207
130.833,10.102103137494396
131.614,4.6029508092674405
132.395,4.940764649069479
133.176,4.101370586266057
133.957,-0.5586047387673716
134.737,4.204598488134707
135.518,5.806352193705379
136.298,10.711444130646441
137.079,20.914825216889994
137.859,27.351817359971847
138.639,30.62705730090761
139.419,24.395404153665822
140.199,27.142965991735082
140.979,46.313250143429286
141.759,43.602401100230736
142.538,51.63422745547564
143.318,56.78543711417797
144.097,85.89855646571164
144.876,87.65170612529391
145.656,98.75663188185035
146.435,85.31135049434874
147.214,79.48749923079436
147.993,66.91406788801328
148.771,58.351527644871794
149.55,45.509897521923904
150.328,46.42875308402722
151.107,49.91870504753774
151.885,28.02872015516914
152.663,35.99042578656167
153.441,27.311508229971878
154.219,18.204984672609044
154.997,27.517347175451505
155.775,16.022309424125297
156.553,18.93575749200909
157.33,16.432283992180828
158.108,6.886685339551832
158.885,7.054801027473559
159.662,8.51025850513679
160.439,10.539805061863717
161.216,6.926204414647145
161.993,10.497159356677003
162.77,7.624389086701058
163.547,5.5968306195563855
164.323,7.914967963596382
165.1,7.618674426470534
165.876,6.607610533896832
166.652,7.9226741068221145
167.428,9.912239681231767
168.204,9.948657898181182
168.98,7.608964385862009
169.756,14.556641139188969
170.532,7.977580045824425
171.307,7.556444120325068
172.083,12.017972231366912
172.858,4.928027260943509
173.633,8.790051074988924
174.409,8.301168612916626
175.184,14.693516188292506
175.959,6.475881174628967
176.733,13.338495046673188
177.508,10.782048624002528
178.283,18.115221692567047
179.057,14.228997892619873
179.832,4.090917347121831
180.606,6.137639257081673
181.38,4.997666327416255
182.154,3.1874388494309187
182.928,7.649632978225327
183.702,5.768367733439163
184.476,4.430836961930936
185.249,10.42042290749464
186.023,11.011457421458317
186.796,9.062900337907422
187.57,6.126318567838098
188.343,7.117169699765327
189.116,1.1108719876424402
189.889,14.772927574897949
