Angle,Intensity
5.00856514,0.01334568884267527
5.021695423,0.012718957000376455
5.034825705,0.011302997016191856
5.047955988,0.015897265290464334
5.061086271,0.012958150661912044
5.074216553,0.015430639229444229
5.087346836,0.009781321712441516
5.100477119,0.01714451810706695
5.113607401,0.00677343424000055
5.126737684,0.01350111471512848
5.139867967,0.012320007338991976
5.152998249,0.012362169609291094
5.166128532,0.014726381519364343
5.179258815,0.01410701911108597
5.192389097,0.012820857418647079
5.20551938,0.010062878400808448
5.218649663,0.009539962835159196
5.231779946,0.008559955719391353
5.244910228,0.009285135010171973
5.258040511,0.01157714673454591
5.271170794,0.011393699065675241
5.284301076,0.008045571124169188
5.297431359,0.010801120883329357
5.310561642,0.010278924817691272
5.323691924,0.009980207152424802
5.336822207,0.012694705917587293
5.34995249,0.009267344104998916
5.363082772,0.010317984334145021
5.376213055,0.009793142506705549
5.389343338,0.01294515819883956
5.40247362,0.013638074293478413
5.415603903,0.010685410454777129
5.428734186,0.010497048071242724
5.441864468,0.009972569348997285
5.454994751,0.015075002625230101
5.468125034,0.010935197169050498
5.481255316,0.015353682982716336
5.494385599,0.020695641724343496
5.507515882,0.012912673279716852
5.520646164,0.014797051008894883
5.533776447,0.012867371852212092
5.54690673,0.011247716300219366
5.560037012,0.008939885480135593
5.573167295,0.011313458045736196
5.586297578,0.013866054421935952
5.59942786,0.019446177044008896
5.612558143,0.016937232857223997
5.625688426,0.007761511906547431
5.638818708,0.010258234465464408
5.651948991,0.013039659989388682
5.665079274,0.008539131983167277
5.678209557,0.011349268505763963
5.691339839,0.017633761588184787
5.704470122,0.008415344058241726
5.717600405,0.008560557041264828
5.730730687,0.01332869048599681
5.74386097,0.01400713464918508
5.756991253,0.017027857166106383
5.770121535,0.013524770783301119
5.783251818,0.009724020814104395
5.796382101,0.010528204054731337
5.809512383,0.011217589189234593
5.822642666,0.011466072880921439
5.835772949,0.013017802835813662
5.848903231,0.008880245025511536
5.862033514,0.013396554005594002
5.875163797,0.008272986533427649
5.888294079,0.01247670794038351
5.901424362,0.012827561422396268
5.914554645,0.017431195501561865
5.927684927,0.010266068964366408
5.94081521,0.014832610423611456
5.953945493,0.009769548937583908
5.967075775,0.01316610713288109
5.980206058,0.012866546355195518
5.993336341,0.014176187565850247
6.006466623,0.013984602466877005
6.019596906,0.008906442315180953
6.032727189,0.00771431635804241
6.045857471,0.010054049582519237
6.058987754,0.013430023700994656
6.072118037,0.013344567489305252
6.085248319,0.011104642519991858
