Angle,Intensity
5.01056514,0.02173529246613095
5.023695423,0.027567429852779227
5.036825705,0.02175109304613892
5.049955988,0.024002653712644054
5.063086271,0.026890588465066756
5.076216553,0.023280402157615863
5.089346836,0.02548327181861979
5.102477119,0.026208357853326193
5.115607401,0.021038511990576575
5.128737684,0.02902041102577986
5.141867967,0.027646546923318395
5.154998249,0.022588376113622622
5.168128532,0.020302640503417766
5.181258815,0.0240954089006898
5.194389097,0.027685738292441225
5.20751938,0.023375634586954498
5.220649663,0.02111706469153727
5.233779946,0.02701553725015647
5.246910228,0.030467309612940512
5.260040511,0.029803397883098458
5.273170794,0.03115842127245137
5.286301076,0.03997910937562696
5.299431359,0.021181821107921665
5.312561642,0.04235323416117785
5.325691924,0.025667151397506114
5.338822207,0.022737525231200612
5.35195249,0.02569035404628948
5.365082772,0.030569410941003978
5.378213055,0.03191366542168488
5.391343338,0.03126339433303357
5.40447362,0.024283259489627923
5.417603903,0.021288328701126208
5.430734186,0.024308014310578163
5.443864468,0.01896239566700941
5.456994751,0.03522092031247247
5.470125034,0.02862369405479876
5.483255316,0.0286354326554044
5.496385599,0.03136372386492743
5.509515882,0.03463699715251593
5.522646164,0.03139024714159165
5.535776447,0.02586677911031228
5.54890673,0.02442666725606896
5.562037012,0.024438860320327722
5.575167295,0.03276530129733165
5.588297578,0.02804777463969226
5.60142786,0.03147218961365172
5.614558143,0.02807604455506385
5.627688426,0.0252412991878105
5.640818708,0.025254803702637784
5.653948991,0.028814925527711067
5.667079274,0.030198532301523463
5.680209557,0.023080610901482595
5.693339839,0.03022804362408446
5.706470122,0.024597324628351267
5.719600405,0.02749095262818931
5.732730687,0.024627415844512113
5.74586097,0.027521353496885257
5.758991253,0.01929809200688423
5.772121535,0.02467266876398226
5.785251818,0.027568475584896265
5.798382101,0.02013829544719855
5.811512383,0.03104185901964455
5.824642666,0.023248529865072518
5.837772949,0.021743215464811172
5.850903231,0.029731562027335828
5.864033514,0.026239032265682655
5.877163797,0.016160253363696846
5.890294079,0.030463174448430545
5.903424362,0.02628788567314816
5.916554645,0.026305168706299637
5.929684927,0.02030115521635646
5.94281521,0.024145011691154718
5.955945493,0.02848214316538783
5.969075775,0.023431441479592287
5.982206058,0.02566608872246
5.995336341,0.021171030194412993
6.008466623,0.018806675883491025
6.021596906,0.017185185895172046
6.034727189,0.025734971285904667
6.047857471,0.02502213194396002
6.060987754,0.023552276509921106
6.074118037,0.025056982508465286
6.087248319,0.026530061268838976
6.100378602,0.036612184097804534
6.113508885,0.037876710377460106
6.126639168,0.02134944971194792
6.13976945,0.021366638086323535
6.152899733,0.026622296278551977
6.166030016,0.024446166050319136
6.179160298,0.02446577454218127
6.192290581,0.020657460986580715
6.205420864,0.02300065904235681
6.218551146,0.030225209378771913
6.231681429,0.02454129938561758
6.244811712,0.015810766404099143
6.257941994,0.02231152567101356
6.271072277,0.018360739251784473
6.28420256,0.015870919667952975
6.297332842,0.026831350910929593
6.310463125,0.020832628249652006
6.323593408,0.022407850363754967
6.33672369,0.02395059512090857
6.349853973,0.01681587485995461
6.362984256,0.015988827923943214
6.376114538,0.02837461751046126
6.389244821,0.024777833767983235
6.402375104,0.021753333790630283
6.415505386,0.024070731474123683
6.428635669,0.024836541341570487
6.441765952,0.024859042029149445
6.454896234,0.02919813547120606
6.468026517,0.019476887673403245
6.4811568,0.025658127052860736
6.494287082,0.019518431668125717
6.507417365,0.030664282136768747
6.520547648,0.027893759835634573
6.53367793,0.02273411683606563
6.546808213,0.024278354105926412
6.559938496,0.027955218974616527
6.573068779,0.031453986568544236
6.586199061,0.021261708130797596
6.599329344,0.015500956599328666
6.612459627,0.021304885586012966
6.625589909,0.017254881294042155
6.638720192,0.026645167530107223
6.651850475,0.025198590632691885
6.664980757,0.02059889683279162
6.67811104,0.02956329868624984
6.691241323,0.02817292609840902
6.704371605,0.0222445193402178
6.717501888,0.023038901679722716
6.730632171,0.025331942758707163
6.743762453,0.019929118081657895
6.756892736,0.028996018252583487
6.770023019,0.028307910720522456
6.783153301,0.026161920065490982
6.796283584,0.02763758570649991
6.809413867,0.025468544363813236
6.822544149,0.023221043442713918
6.835674432,0.026254067341516404
6.848804715,0.029154906211261985
6.861934997,0.028471534330853598
6.87506528,0.02331426650448185
6.888195563,0.031993841403810466
6.901325845,0.02782402988744547
6.914456128,0.03204116098304462
6.927586411,0.023408913053330253
6.940716693,0.0327643100646724
6.953846976,0.03211076709119703
6.966977259,0.024247784264886572
6.980107542,0.02939240490697288
6.993237824,0.019562142203837212
7.006368107,0.028732193798783466
7.01949839,0.03155221460155039
7.032628672,0.017970989875329062
7.045758955,0.023629055966019098
7.058889238,0.02130060573419265
7.07201952,0.020523708029534855
7.085149803,0.03370015091491739
7.098280086,0.025996791281796716
7.111410368,0.033750107194805375
7.124540651,0.031062406315020153
7.137670934,0.03577341000242237
7.150801216,0.035148721547771315
7.163931499,0.031824460714711476
7.177061782,0.037139080674567816
7.190192064,0.02542420718417678
7.203322347,0.03190306642610877
7.21645263,0.030543691384495895
7.229582912,0.028444941015596914
7.242713195,0.03662452481178944
7.255843478,0.03729357204742974
7.26897376,0.03537809638505539
7.282104043,0.033415811326933095
7.295234326,0.03800586628101434
7.308364608,0.037398262411600554
7.321494891,0.03482552021763181
7.334625174,0.03808698249706215
7.347755456,0.039989026621000116
7.360885739,0.04540379588701461
7.374016022,0.04065853356614381
7.387146304,0.04997575354241219
7.400276587,0.054827778678526666
7.41340687,0.04316023694746765
7.426537153,0.057968153552552124
7.439667435,0.055432167862821395
