Wavenumber,Intensity
66.4034,0.05901034608317746
67.1936,0.07892295230733654
67.9837,0.11092765212113473
68.7738,0.1454393544065687
69.5637,0.17638765821272917
70.3534,0.20180988187505627
71.1431,0.22195626617474348
71.9327,0.2375717566655591
72.7221,0.24888996561409749
73.5115,0.2555285936002373
74.3007,0.2575473690660442
75.0898,0.2565801988382675
75.8788,0.25526812692983525
76.6677,0.25524829084727385
77.4565,0.2563103286780423
78.2451,0.2578163190109955
79.0337,0.260058558035154
79.8221,0.2636869051662137
80.6105,0.26868356606657023
81.3987,0.2744854864560101
82.1868,0.2805447509680861
82.9748,0.2864571448639365
83.7627,0.29188122174876147
84.5504,0.29604496481501535
85.3381,0.29734880151516113
86.1257,0.29459747318894763
86.9131,0.2889817133305527
87.7004,0.28380767668416834
88.4876,0.2815814595803669
89.2747,0.28167115920991
90.0617,0.2815176883733938
90.8486,0.2802252409720209
91.6354,0.279939149018712
92.422,0.28328586889172624
93.2086,0.2907134056484943
93.995,0.30065360443682315
94.7814,0.31082600221643203
95.5676,0.319028068641922
96.3537,0.32414300406974295
97.1397,0.32688319845918606
97.9255,0.3289500411486103
98.7113,0.3316446459789222
99.497,0.3357484111141593
100.283,0.3422009828906559
101.068,0.35181195661255577
101.853,0.3641496579870916
102.639,0.3775028333524052
103.424,0.3904894049397764
104.209,0.4035043772073665
104.993,0.41821851829902296
105.778,0.4356658445269117
106.563,0.4552029669175671
107.347,0.4754971309533155
108.132,0.49580398442671114
108.916,0.5155721702812864
109.7,0.5335772512716245
110.485,0.5489268357709441
111.269,0.5627688396009538
112.052,0.5773491216576646
112.836,0.5926322834524941
113.62,0.6043662148332252
114.403,0.6059218406590954
115.187,0.5919413367638413
115.97,0.5607344535433668
116.753,0.5146314056648729
117.537,0.4589948081027018
118.32,0.40034962748317676
119.102,0.3443077034073909
119.885,0.2941087108489893
120.668,0.25005961299146584
121.451,0.21018549923922422
122.233,0.17219964009431196
123.015,0.13554307523766868
123.798,0.10181151528922507
124.58,0.07363089507157626
125.362,0.053394161351843474
126.144,0.04233678747691933
126.925,0.03980454233214688
127.707,0.04321016553019899
128.489,0.04911377547657168
129.27,0.05481897860155912
130.051,0.05921439677757349
130.833,0.062297098738987346
131.614,0.06443492136342724
132.395,0.0663964430496477
133.176,0.06961285944183222
133.957,0.07586838025749222
134.737,0.08682633994332539
135.518,0.10381649906134205
136.298,0.12723263494311035
137.079,0.15529683925695362
137.859,0.1842312425642122
138.639,0.2115680034252702
139.419,0.23993373022320985
140.199,0.2762913497594717
140.979,0.32662712089457085
141.759,0.39159938244496484
142.538,0.4662627510951066
143.318,0.5415790262312109
144.097,0.6058073020368009
144.876,0.6469413778558063
145.656,0.6565559065779419
146.435,0.6329250319490469
147.214,0.5814946944017835
147.993,0.5130033352083162
148.771,0.4403223923134924
149.55,0.3745195341764465
150.328,0.3213281643510934
151.107,0.28050186971699276
151.885,0.24860594506629072
152.663,0.22240036661882426
153.441,0.20027741069898344
154.219,0.18173438517172594
154.997,0.1659689029333496
155.775,0.15096282922593068
156.553,0.1344837964048802
157.33,0.11658273597244935
158.108,0.10051671281109974
158.885,0.0899738881142772
159.662,0.08539296794263648
160.439,0.08385488900907566
161.216,0.0821803379237258
161.993,0.07920946915782322
162.77,0.0755078347424303
163.547,0.07207816134006975
164.323,0.06956813944489323
165.1,0.06809059008326407
165.876,0.06742751189356687
166.652,0.06741110155439411
167.428,0.06803876051145107
168.204,0.06917007761898517
168.98,0.0702539091913196
169.756,0.07051558686269742
170.532,0.06941683235468976
171.307,0.06708203464336407
172.083,0.06459279307337744
172.858,0.06370021150462249
173.633,0.06546828395666683
174.409,0.06891946274106689
175.184,0.07177003789949665
175.959,0.07286166600382363
176.733,0.07310659282060732
177.508,0.0736370056420112
178.283,0.0738872397887256
179.057,0.07225327477122447
179.832,0.06822361943403783
180.606,0.06310922596004534
181.38,0.05866352536190998
182.154,0.055640055443729165
182.928,0.05402135812924989
183.702,0.05404567803447756
184.476,0.05606517861380285
185.249,0.0594296398515698
186.023,0.062417022265871244
186.796,0.06359477077202065
187.57,0.06294173858199925
188.343,0.061655588129831414
189.116,0.06110707826823964
189.889,0.061802125355440087
190.662,0.06314648794223028
191.435,0.06394702669851446
192.207,0.06290776919008466
192.98,0.059103922562894415
193.753,0.052751553566676435
194.525,0.045498173319671535
195.297,0.0394241791240561
196.069,0.035688469164791355
196.841,0.03427093194844759
197.613,0.03450715016266725
198.385,0.03527179039341246
199.157,0.03514785237274691
199.928,0.03340272522372692
200.7,0.030805403773089407
201.471,0.028959911619544094
202.243,0.028727302724777633
203.014,0.02940496210420307
203.785,0.029299629332972803
204.556,0.027231414031194445
205.327,0.023794161830502255
206.097,0.020983646857249388
206.868,0.020261528315648557
207.639,0.021124981418734493
208.409,0.02190557519240831
209.179,0.021752910816887135
209.95,0.021081152798761642
210.72,0.020241663996106277
211.49,0.01911346726150925
212.26,0.018316963962699294
213.029,0.019258497694127078
213.799,0.02192976856082837
214.569,0.023694009055872024
215.338,0.021607797252384285
216.108,0.015842573001668383
216.877,0.010191564146356843
217.646,0.009090754315184479
218.415,0.014063811628058445
219.184,0.022829163666733158
219.953,0.03161232780140378
220.722,0.0382323052221515
221.49,0.04309337507112933
222.259,0.047600429044078824
223.027,0.05223574332377064
223.796,0.056592980070733524
224.564,0.060915826863075465
225.332,0.06686870977454316
226.1,0.0764564547523356
226.868,0.08996923994829487
227.636,0.10488532963668738
228.403,0.11735690197752613
229.171,0.12531836622975953
229.938,0.13006423861371502
