Wavenumber,Intensity
66.4034,0.024133056887728203
67.1936,0.03822830630681703
67.9837,0.06209718257815265
68.7738,0.09059196352606749
69.5637,0.11998506524435867
70.3534,0.14698559109647802
71.1431,0.1677357344379954
71.9327,0.17925127012215628
72.7221,0.18156783492703427
73.5115,0.1779794469497432
74.3007,0.17305893616558599
75.0898,0.16999127303357323
75.8788,0.16917897678910612
76.6677,0.16928926826666565
77.4565,0.16958492133182637
78.2451,0.17076412642649366
79.0337,0.17356633588931386
79.8221,0.17750714281882868
80.6105,0.18127128924539623
81.3987,0.18387636064738003
82.1868,0.18551485713852606
82.9748,0.18752366569606782
83.7627,0.19101246486353268
84.5504,0.1950525758846883
85.3381,0.19683314826231146
86.1257,0.19436167961498238
86.9131,0.1886462038855425
87.7004,0.18272784531787778
88.4876,0.17909543892572216
89.2747,0.17853641778969598
90.0617,0.1807898984448502
90.8486,0.1852596333681572
91.6354,0.19087707841176366
92.422,0.19607241035000122
93.2086,0.19974929829433558
93.995,0.20233977303188924
94.7814,0.20525434196590925
95.5676,0.20904068235505624
96.3537,0.21274574655339634
97.1397,0.21536103337337445
97.9255,0.21703628224924454
98.7113,0.21833567517535696
99.497,0.21934024962563695
100.283,0.2205208183203786
101.068,0.2238032707603699
101.853,0.23139376148345606
102.639,0.2432335848692906
103.424,0.25640130192061406
104.209,0.2676215740514232
104.993,0.27609932223764005
105.778,0.2835355774826864
106.563,0.29200152989916556
107.347,0.30254542786219824
108.132,0.31529208685966403
108.916,0.32969059296891845
109.7,0.34441031193054045
110.485,0.3577201638716401
111.269,0.3684163073686181
112.052,0.37629246453566667
112.836,0.3814548663364762
113.62,0.3833808460617076
114.403,0.3808965558008969
115.187,0.37256676981088344
115.97,0.3567670459699577
116.753,0.33224707246944657
117.537,0.29940961199264116
118.32,0.26076262175759346
119.102,0.22000223678904748
119.885,0.1809118784572179
120.668,0.14660055197404614
121.451,0.11869230818254911
122.233,0.09681737939295332
123.015,0.07926179944370076
123.798,0.06452054425583627
124.58,0.05234376986145294
125.362,0.04324327955920422
126.144,0.03734221038370074
126.925,0.034025031527653134
127.707,0.03230273926100382
128.489,0.03112177761000898
129.27,0.02987714334645677
130.051,0.029176297798410647
130.833,0.030693063097668102
131.614,0.035807414417551475
132.395,0.044568553403365366
133.176,0.05612389525803942
133.957,0.06982586038677631
134.737,0.0854790316134225
135.518,0.10267906968395327
136.298,0.1207929154544281
137.079,0.1401675474710175
137.859,0.16298289512062783
138.639,0.19261060042689912
139.419,0.2324821212257259
140.199,0.2855450443389907
140.979,0.3537243396236401
141.759,0.4362455228818403
142.538,0.527665783013171
143.318,0.6179153006578565
144.097,0.6949435921213653
144.876,0.7478083495147997
145.656,0.7684728021735008
146.435,0.7530219653966781
147.214,0.7032678725723432
147.993,0.6276029217901307
148.771,0.5389879148355857
149.55,0.4500844135014134
150.328,0.36887586386449056
151.107,0.29813218338712694
151.885,0.2380457531628124
152.663,0.1887400243430528
153.441,0.15075103135398948
154.219,0.12404997224654797
154.997,0.10714378562973663
155.775,0.09710922656520225
156.553,0.0905680202356394
157.33,0.08500424711957455
158.108,0.07944827168657935
158.885,0.0741129744025968
159.662,0.06968825294870808
160.439,0.06691635459240002
161.216,0.06613690132497624
161.993,0.06661547338247742
162.77,0.06645475808758274
163.547,0.06355072445508773
164.323,0.05698801580888662
165.1,0.04799821715849934
165.876,0.03968269507644777
166.652,0.03525688407106108
167.428,0.03601435910047682
168.204,0.04083105614829659
168.98,0.04735695747615445
169.756,0.0533425891433702
170.532,0.057104221239329046
171.307,0.057780970600755675
172.083,0.05601992695186887
172.858,0.05424069978358734
173.633,0.05537340320983525
174.409,0.060926888887444894
175.184,0.07016018339082095
175.959,0.08048258597093133
176.733,0.08837229955293154
177.508,0.09102669743075176
178.283,0.08841935113158908
179.057,0.08364555316825739
179.832,0.08052509435605856
180.606,0.08080376899477895
181.38,0.08369919800148223
182.154,0.08752576659822131
182.928,0.09109956631235475
183.702,0.09380103049480662
184.476,0.0950912181877355
185.249,0.09444722139414471
186.023,0.09158507149947748
186.796,0.08673209898449963
187.57,0.08106690739272708
188.343,0.07656456991125934
189.116,0.07450642625704644
189.889,0.07408269900029554
190.662,0.07304595296239434
191.435,0.06976860059933794
192.207,0.06443158269422544
192.98,0.05857486051069785
193.753,0.053895593766699
194.525,0.0512514837200103
195.297,0.050315961874320164
196.069,0.05011600739786752
196.841,0.04983215533686327
197.613,0.04894816746497048
198.385,0.046985107228595675
199.157,0.04366209741373273
199.928,0.03933009574596985
200.7,0.034889930229755145
201.471,0.03109687143706821
202.243,0.027909660132580495
203.014,0.02461190529917684
203.785,0.020663113395125082
204.556,0.016396254360988793
205.327,0.012823778302983962
206.097,0.010875951109186266
206.868,0.010856392349506125
207.639,0.012205794709675595
208.409,0.01373832729935267
209.179,0.014511332251903824
209.95,0.014369319930877525
210.72,0.0133044358363163
211.49,0.010842481265609497
212.26,0.006843980435730965
213.029,0.0025435973367565205
213.799,0.0
214.569,0.0007274558481545323
215.338,0.005131550600592546
216.108,0.01254228984245674
216.877,0.021260733143377102
217.646,0.029039735229477483
218.415,0.03407968658845933
219.184,0.03565643181899292
219.953,0.033999680168885583
220.722,0.03012765162933437
221.49,0.025853671566956414
222.259,0.023335419165756748
223.027,0.023990022827946975
223.796,0.027784676471579506
224.564,0.033742715187544334
225.332,0.0411025482641076
226.1,0.049667806853220545
226.868,0.05893074525250483
227.636,0.06730948810251247
228.403,0.07302220227157794
229.171,0.0758333038769094
229.938,0.07731121735638584
